Well1,Well2,StartMonth,EndMonth,Duration,MeanWell1,StdWell1,MinWell1,MaxWell1,MeanWell2,StdWell2,MinWell2,MaxWell2,PearsonCorr
29N04W20A002M,05N03E16J001M,2010-09,2020-02,114,400.4360884640351,2.83228031645972,393.943,405.555,-0.3878872264736842,1.0405385414577848,-2.915,2.225,0.3576778331475128
29N04W20A002M,05N03E16R002M,2012-03,2017-02,60,399.39286678833327,2.8088908192332287,393.943,404.458,2.6826622343999995,1.4609800137319593,0.945,9.202,0.585849106383137
29N04W20A002M,05N03E21G001M,2012-03,2019-02,84,399.96722318095226,2.830550360258667,393.943,405.555,1.1352381296904763,2.1208200134475863,-1.908,6.276,0.6340994000500458
29N04W20A002M,05N03E16B002M,2012-03,2022-06,124,399.7515845112904,2.988584623706641,393.762,405.555,0.2912869519112904,1.356316481086897,-2.225,4.167,0.4623994935640763
29N04W20A002M,05N03E16J002M,2010-09,2017-03,79,399.9795463455696,2.9546365870271973,393.943,405.163,-2.00830090921519,1.1638719657461096,-4.865,0.347,0.7646967055812688
29N04W20A002M,05N03E16H001M,2012-03,2022-06,124,399.7515845112904,2.988584623706641,393.762,405.555,1.1301164474032257,2.1621144239379806,-2.08,7.114,0.45175406612171565
29N04W20A002M,05N03E16R003M,2012-03,2017-02,60,399.39286678833327,2.8088908192332287,393.943,404.458,0.7640499999999999,0.978987273769884,-1.304,3.347,0.45617879321458943
29N04W20A002M,05N03E20B001M,2012-03,2019-02,84,399.96722318095226,2.830550360258667,393.943,405.555,3.213354600238095,1.0829830992101521,1.722,8.348,0.6456429822257227
29N04W20A002M,05N03E21L001M,2012-03,2017-02,60,399.39286678833327,2.8088908192332287,393.943,404.458,4.602116666666666,0.8660751149884517,3.865,9.779,0.2354972333253457
29N04W20A002M,05N03E21H001M,2010-09,2020-02,114,400.4360884640351,2.83228031645972,393.943,405.555,-0.960260459254386,0.8318719915554517,-2.745,1.285,0.7808972137808896
29N04W20A002M,05N03E21H002M,2011-03,2020-02,108,400.39596935277774,2.8428450492361734,393.943,405.555,-1.9670453511296293,1.4123253484226714,-4.714,1.667,0.8742190424146206
29N04W20A002M,05N03E20B002M,2012-03,2019-02,84,399.96722318095226,2.830550360258667,393.943,405.555,3.5313862476071427,0.7550081158880725,1.899,6.898,0.35333728868299247
29N04W20A002M,05N03E21G003M,2012-03,2019-02,84,399.96722318095226,2.830550360258667,393.943,405.555,-1.002061062345238,0.7518707289216946,-2.329,1.536,0.771981406023133
29N04W20A002M,05N03E20B003M,2012-03,2019-02,84,399.96722318095226,2.830550360258667,393.943,405.555,2.0241218438095236,0.6196427015583863,1.085,5.764,0.48239318627270267
29N04W20A002M,05N03E21G002M,2012-03,2019-02,84,399.96722318095226,2.830550360258667,393.943,405.555,0.5162690447380953,0.8109874285030689,-1.264,3.072,0.6813910150620797
29N04W20A002M,05N03E29C001M,2012-03,2019-02,84,399.96722318095226,2.830550360258667,393.943,405.555,2.946878905642857,1.3013480842257035,0.833,7.523,0.6793912735366137
29N04W20A002M,05N03E29A002M,2012-03,2015-08,42,399.0425764238095,2.906324871058977,393.943,404.125,2.0735501668333334,0.21984432558833425,1.591,3.006,0.297070360280451
29N04W20A002M,05N03E21L002M,2012-03,2017-02,60,399.39286678833327,2.8088908192332287,393.943,404.458,2.908488548666667,0.7184233907380156,1.453,6.515,0.49628495727875943
29N04W20A002M,11N01E02D002M,2007-12,2010-10,35,400.27827744,2.589742951762178,396.025,404.95,-5.471596712314286,18.01213962514553,-50.874,13.822,0.5529933865901459
29N04W20A002M,05N03E29A001M,2012-03,2015-08,42,399.0425764238095,2.906324871058977,393.943,404.125,3.2607698926428577,0.8020615555870103,1.228,4.618,0.5163590445795516
29N04W20A002M,11N01E24Q500M,2019-03,2022-08,42,399.0120195023809,3.4594331061119306,393.0203242,404.79,-17.990290563238098,31.53888344823312,-77.021,28.084,0.7939143291871626
29N04W20A002M,05N03E29C002M,2012-03,2019-02,84,399.96722318095226,2.830550360258667,393.943,405.555,4.038002368809525,0.5905374045555908,3.082,7.974,0.3329138499417832
29N04W20A002M,11N01E24Q502M,2019-03,2022-08,42,399.0120195023809,3.4594331061119306,393.0203242,404.79,-28.08130155742857,28.668921573524702,-79.592,17.961,0.8891429142198796
29N04W20A002M,09N04E20N002M,2013-06,2022-09,112,399.45216124464287,3.1903635023651127,391.292,405.555,5.994745363116071,5.689464045407198,-4.94,22.727,0.5938650684093106
29N04W20A002M,11N01E02D003M,2007-12,2010-10,35,400.27827744,2.589742951762178,396.025,404.95,4.030870814971428,6.240367645309745,-6.099,13.83,0.8616322307420438
29N04W20A002M,09N04E20N001M,2013-06,2022-09,112,399.45216124464287,3.1903635023651127,391.292,405.555,7.384040288303573,6.402088950623327,-4.241,27.037,0.5392657505034406
29N04W20A002M,11N01E24Q501M,2019-03,2022-08,42,399.0120195023809,3.4594331061119306,393.0203242,404.79,-34.38023089523809,35.55174105304754,-95.355,22.922,0.7962833147537416
29N04W20A002M,11N02E05F001M,2007-12,2010-05,30,400.5606176366667,2.5335761868118123,396.025,404.95,0.07376666666666658,19.886376923677542,-47.298,19.529,0.8550735417116142
29N04W20A002M,12N01W04M003M,2019-09,2022-02,30,399.0821840233333,3.2339140930422072,393.762,404.5039887,-24.615280351666662,21.34398810090408,-61.714,9.037,0.7709592513145206
29N04W20A002M,11N03E02Q005M,2011-06,2022-09,136,399.68431856985296,3.13112196033152,391.292,405.555,4.957045001433823,5.241753811938201,-7.12,14.797,0.6220535298802867
29N04W20A002M,11N01E24Q503M,2019-03,2022-08,42,399.0120195023809,3.4594331061119306,393.0203242,404.79,-18.104711961142854,17.905162762558923,-54.973,8.293,0.8598122162240054
29N04W20A002M,11N03E02Q002M,2011-06,2022-09,136,399.68431856985296,3.13112196033152,391.292,405.555,15.72341674277941,5.072512140194311,-0.432,22.589,0.6212139417910776
29N04W20A002M,12N01W04M001M,2019-09,2022-09,37,398.3006978135136,3.501773675342773,391.292,404.5039887,11.773832665027026,6.390540754618447,0.008,22.213,0.8339872026759689
29N04W20A002M,12N01W15N005M,2019-09,2022-07,35,398.65181414000006,3.2545352757833705,393.5347627,404.5039887,8.639147863714285,6.541420400141628,-6.138,17.969,0.8762835390748729
29N04W20A002M,11N03E02Q004M,2011-06,2022-09,136,399.68431856985296,3.13112196033152,391.292,405.555,6.0410382519632355,5.0537789316422685,-6.177,15.533,0.5688471640672705
29N04W20A002M,12N01W15N006M,2020-09,2022-07,23,397.61900817826086,3.053902607913886,393.5347627,402.961477,-37.89687681652174,32.694818441237224,-98.216,2.884,0.7746588585141273
29N04W20A002M,11N03E02Q003M,2011-06,2022-09,136,399.68431856985296,3.13112196033152,391.292,405.555,12.36292387540441,6.366277637815027,-7.322,21.801,0.8026876514380985
29N04W20A002M,12N01W15N007M,2019-09,2022-07,35,398.65181414000006,3.2545352757833705,393.5347627,404.5039887,-24.38379020562857,21.959492646202932,-68.966,6.56,0.9310217856521769
29N04W20A002M,13N01E21B002M,2012-12,2022-09,118,399.57907461101695,3.1721869976563126,391.292,405.555,14.587305767576273,6.5420447425641095,-8.016,24.307,0.9076494035790492
29N04W20A002M,12N02E23H003M,2011-06,2022-09,136,399.68431856985296,3.13112196033152,391.292,405.555,15.621022767176472,2.8776115693909845,7.376,20.237,0.7674312938396051
29N04W20A002M,12N02E23H002M,2011-06,2022-09,136,399.68431856985296,3.13112196033152,391.292,405.555,16.332995542867646,1.1943025648347283,12.633,18.864,0.3645222591628457
29N04W20A002M,13N01W13P003M,2010-06,2022-09,148,399.823733154054,3.1496812845659727,391.292,405.555,6.360709959959459,10.301849251467846,-19.584,23.465,0.8994425428114059
29N04W20A002M,13N03E06A002M,2011-06,2022-09,136,399.68431856985296,3.13112196033152,391.292,405.555,26.472507688308824,3.5860683244124063,14.959,34.298,0.8295104698061562
29N04W20A002M,13N11W17Q001M,2011-06,2013-08,27,400.3538949703704,2.7935491201175773,395.054,404.125,513.4439259259259,0.6298009408307021,512.43,514.614,0.2555633084513634
29N04W20A002M,13N03E06A001M,2011-06,2022-09,136,399.68431856985296,3.13112196033152,391.292,405.555,29.004936334338232,2.128131390784325,19.621,33.31,0.7445666473260175
29N04W20A002M,12N02E23H004M,2010-12,2022-09,142,399.8560304612676,3.176540507841344,391.292,405.555,14.934963985845068,3.6570504351794573,5.157,21.337,0.7189551847102557
29N04W20A002M,13N14W11B001M,2007-12,2011-02,39,400.5381464205128,2.5873273314408824,396.025,404.95,383.83944978974364,4.6105970946238255,376.305,390.2696169,0.907608126804921
29N04W20A002M,13N03E06A003M,2011-06,2022-09,136,399.68431856985296,3.13112196033152,391.292,405.555,26.15878803227941,3.732074698062041,14.862,34.193,0.84059567524085
29N04W20A002M,13N11W19H001M,2007-12,2013-04,65,400.81493809999995,2.6549656564444666,396.025,405.064,480.6063444138462,4.4661151842584585,474.547,488.701,0.7994398760745947
29N04W20A002M,13N03E26J002M,2010-09,2022-09,145,399.83926014,3.1573653477679917,391.292,405.555,23.686561401724138,6.122351893503398,10.793,34.898,0.8534828305701577
29N04W20A002M,12N02E23H001M,2010-12,2022-09,142,399.8560304612676,3.176540507841344,391.292,405.555,15.64360538056338,1.1843416162446099,11.647,18.282,0.42767514685859437
29N04W20A002M,13N03E26J004M,2010-09,2022-09,145,399.83926014,3.1573653477679917,391.292,405.555,20.45046126586207,5.30880153656641,7.502,29.042,0.8694993000601154
29N04W20A002M,13N14W11B002M,2007-12,2010-11,36,400.3104086222222,2.5597487104810055,396.025,404.95,376.1139422666667,6.755980159241055,362.799,385.331,0.9020656033604648
29N04W20A002M,13N01E22A001M,2007-12,2022-07,176,400.0364699528409,2.9604164657801606,393.5347627,405.555,6.257980897045454,13.570866004184301,-64.266,22.774,0.7292150713134646
